l,t,n,sc,sc_line
1,1,1,0,1
1,1,1,1,1
1,1,1,2,1
1,1,1,3,1
1,1,1,4,1
1,1,1,5,1
1,1,1,6,1
1,1,1,7,1
1,1,1,8,1
1,1,1,9,1
1,1,1,10,1
1,1,1,11,1
1,1,1,12,1
1,1,1,13,1
1,1,1,14,1
1,1,1,15,1
1,1,1,16,1
1,1,2,0,1
1,1,2,1,1
1,1,2,2,1
1,1,2,3,1
1,1,2,4,1
1,1,2,5,1
1,1,2,6,1
1,1,2,7,1
1,1,2,8,1
1,1,2,9,1
1,1,2,10,1
1,1,2,11,1
1,1,2,12,1
1,1,2,13,1
1,1,2,14,1
1,1,2,15,1
1,1,2,16,1
1,2,1,0,1
1,2,1,1,1
1,2,1,2,1
1,2,1,3,1
1,2,1,4,1
1,2,1,5,1
1,2,1,6,1
1,2,1,7,1
1,2,1,8,1
1,2,1,9,1
1,2,1,10,1
1,2,1,11,1
1,2,1,12,1
1,2,1,13,1
1,2,1,14,1
1,2,1,15,1
1,2,1,16,1
1,2,2,0,1
1,2,2,1,1
1,2,2,2,1
1,2,2,3,1
1,2,2,4,1
1,2,2,5,1
1,2,2,6,1
1,2,2,7,1
1,2,2,8,1
1,2,2,9,1
1,2,2,10,1
1,2,2,11,1
1,2,2,12,1
1,2,2,13,1
1,2,2,14,1
1,2,2,15,1
1,2,2,16,1
2,1,1,0,1
2,1,1,1,1
2,1,1,2,1
2,1,1,3,1
2,1,1,4,1
2,1,1,5,1
2,1,1,6,1
2,1,1,7,1
2,1,1,8,1
2,1,1,9,1
2,1,1,10,1
2,1,1,11,1
2,1,1,12,1
2,1,1,13,1
2,1,1,14,1
2,1,1,15,1
2,1,1,16,1
2,1,2,0,1
2,1,2,1,1
2,1,2,2,1
2,1,2,3,1
2,1,2,4,1
2,1,2,5,1
2,1,2,6,1
2,1,2,7,1
2,1,2,8,1
2,1,2,9,1
2,1,2,10,1
2,1,2,11,1
2,1,2,12,1
2,1,2,13,1
2,1,2,14,1
2,1,2,15,1
2,1,2,16,1
2,2,1,0,1
2,2,1,1,1
2,2,1,2,1
2,2,1,3,1
2,2,1,4,1
2,2,1,5,1
2,2,1,6,1
2,2,1,7,1
2,2,1,8,1
2,2,1,9,1
2,2,1,10,1
2,2,1,11,1
2,2,1,12,1
2,2,1,13,1
2,2,1,14,1
2,2,1,15,1
2,2,1,16,1
2,2,2,0,1
2,2,2,1,1
2,2,2,2,1
2,2,2,3,1
2,2,2,4,1
2,2,2,5,1
2,2,2,6,1
2,2,2,7,1
2,2,2,8,1
2,2,2,9,1
2,2,2,10,1
2,2,2,11,1
2,2,2,12,1
2,2,2,13,1
2,2,2,14,1
