i,k,t,n,sc,sc_gen
4,ng1,1,3,63,1
4,ng1,1,3,64,1
4,ng1,1,3,65,1
4,ng1,1,3,66,1
4,ng1,1,3,67,1
4,ng1,1,3,68,1
4,ng1,1,3,69,1
4,ng1,1,3,70,1
4,ng1,1,3,71,1
4,ng1,1,3,72,1
4,ng1,1,3,73,1
4,ng1,1,3,74,1
4,ng1,1,3,75,1
4,ng1,1,3,76,1
4,ng1,1,3,77,1
4,ng1,1,3,78,1
4,ng1,1,3,79,1
4,ng1,1,3,80,1
4,ng1,1,3,81,1
4,ng1,1,3,82,1
4,ng1,1,3,83,1
4,ng1,1,3,84,1
4,ng1,1,3,85,1
4,ng1,1,3,86,1
4,ng1,1,3,87,1
4,ng1,1,3,88,1
4,ng1,1,3,89,1
4,ng1,1,3,90,1
4,ng1,1,3,91,1
4,ng1,1,3,92,1
4,ng1,1,3,93,1
4,ng1,1,3,94,1
4,ng1,1,3,95,1
4,ng1,1,3,96,1
4,ng1,1,3,97,1
4,ng1,1,3,98,1
4,ng1,1,3,99,1
4,ng1,1,3,100,1
4,ng1,1,3,101,1
4,ng1,1,3,102,1
4,ng1,1,3,103,0
4,ng1,1,3,104,1
4,ng1,1,3,105,1
4,ng1,1,3,106,1
4,ng1,1,3,107,1
4,ng1,1,3,108,1
4,ng1,1,3,109,1
4,ng1,1,3,110,1
4,ng1,1,3,111,1
4,ng1,1,3,112,1
4,ng1,1,3,113,1
4,ng1,1,3,114,1
4,ng1,1,3,115,1
4,ng1,1,3,116,1
4,ng1,1,3,117,1
4,ng1,1,3,118,1
4,ng1,1,3,119,1
4,ng1,1,3,120,1
4,ng1,1,3,121,1
4,ng1,1,3,122,1
4,ng1,1,3,123,1
4,ng1,1,3,124,1
4,ng1,1,3,125,1
4,ng1,1,3,126,1
4,ng1,1,3,127,1
4,ng1,1,3,128,1
4,ng1,1,3,129,1
4,ng1,1,3,130,1
4,ng1,1,3,131,1
4,ng1,1,3,132,1
4,ng1,1,3,133,1
4,ng1,1,3,134,1
4,ng1,1,3,135,1
4,ng1,1,3,136,1
4,ng1,1,3,137,1
4,ng1,1,3,138,1
4,ng1,1,3,139,1
4,ng1,1,3,140,1
4,ng1,1,3,141,1
4,ng1,1,3,142,1
4,ng1,1,3,143,0
4,ng1,1,3,144,1
4,ng1,1,3,145,1
4,ng1,1,3,146,1
4,ng1,1,3,147,1
4,ng1,1,3,148,1
4,ng1,1,3,149,1
4,ng1,1,3,150,1
4,ng1,1,3,151,1
4,ng1,1,3,152,1
4,ng1,1,3,153,1
4,ng1,1,3,154,1
4,ng1,1,3,155,1
4,ng1,1,3,156,1
4,ng1,1,3,157,1
4,ng1,1,3,158,1
4,ng1,1,3,159,1
4,ng1,1,3,160,1
4,ng1,1,3,161,1
4,ng1,1,3,162,1
4,ng1,1,3,163,1
4,ng1,1,3,164,1
4,ng1,1,3,165,1
4,ng1,1,3,166,1
4,ng1,1,3,167,1
4,ng1,1,3,168,1
4,ng1,1,3,169,1
4,ng1,1,3,170,1
4,ng1,1,3,171,1
4,ng1,1,3,172,1
4,ng1,1,3,173,1
4,ng1,1,3,174,1
4,ng1,1,3,175,1
4,ng1,1,3,176,1
4,ng1,1,3,177,1
4,ng1,1,3,178,1
4,ng1,1,3,179,1
4,ng1,1,3,180,1
4,ng1,1,3,181,1
4,ng1,1,3,182,1
4,ng1,1,3,183,0
4,ng1,1,3,184,1
4,ng1,1,3,185,1
4,ng1,1,3,186,1
4,ng1,1,3,187,1
4,ng1,1,3,188,1
4,ng1,1,3,189,1
4,ng1,1,3,190,1
4,ng1,1,3,191,1
4,ng1,1,3,192,1
4,ng1,1,3,193,1
4,ng1,1,3,194,1
4,ng1,1,3,195,1
4,ng1,1,3,196,1
4,ng1,1,3,197,1
4,ng1,1,3,198,1
4,ng1,1,3,199,1
4,ng1,1,3,200,1
4,ng1,1,4,1,1
4,ng1,1,4,2,1
4,ng1,1,4,3,1
4,ng1,1,4,4,1
4,ng1,1,4,5,1
4,ng1,1,4,6,1
4,ng1,1,4,7,1
4,ng1,1,4,8,1
4,ng1,1,4,9,1
4,ng1,1,4,10,1
4,ng1,1,4,11,1
4,ng1,1,4,12,1
4,ng1,1,4,13,1
4,ng1,1,4,14,1
4,ng1,1,4,15,1
4,ng1,1,4,16,1
4,ng1,1,4,17,1
4,ng1,1,4,18,1
4,ng1,1,4,19,1
4,ng1,1,4,20,1
4,ng1,1,4,21,1
4,ng1,1,4,22,1
4,ng1,1,4,23,1
4,ng1,1,4,24,1
4,ng1,1,4,25,1
4,ng1,1,4,26,1
4,ng1,1,4,27,1
4,ng1,1,4,28,1
4,ng1,1,4,29,1
4,ng1,1,4,30,1
4,ng1,1,4,31,1
4,ng1,1,4,32,1
4,ng1,1,4,33,1
4,ng1,1,4,34,1
4,ng1,1,4,35,1
4,ng1,1,4,36,1
4,ng1,1,4,37,1
4,ng1,1,4,38,1
4,ng1,1,4,39,1
4,ng1,1,4,40,1
4,ng1,1,4,41,1
4,ng1,1,4,42,1
4,ng1,1,4,43,1
4,ng1,1,4,44,0
4,ng1,1,4,45,1
4,ng1,1,4,46,1
4,ng1,1,4,47,1
4,ng1,1,4,48,1
4,ng1,1,4,49,1
4,ng1,1,4,50,1
4,ng1,1,4,51,1
4,ng1,1,4,52,1
4,ng1,1,4,53,1
4,ng1,1,4,54,1
4,ng1,1,4,55,1
4,ng1,1,4,56,1
4,ng1,1,4,57,1
4,ng1,1,4,58,1
4,ng1,1,4,59,1
4,ng1,1,4,60,1
4,ng1,1,4,61,1
4,ng1,1,4,62,1
4,ng1,1,4,63,1
4,ng1,1,4,64,1
4,ng1,1,4,65,1
4,ng1,1,4,66,1
4,ng1,1,4,67,1
4,ng1,1,4,68,1
4,ng1,1,4,69,1
4,ng1,1,4,70,1
4,ng1,1,4,71,1
4,ng1,1,4,72,1
4,ng1,1,4,73,1
4,ng1,1,4,74,1
4,ng1,1,4,75,1
4,ng1,1,4,76,1
4,ng1,1,4,77,1
4,ng1,1,4,78,1
4,ng1,1,4,79,1
4,ng1,1,4,80,1
4,ng1,1,4,81,1
4,ng1,1,4,82,1
4,ng1,1,4,83,1
4,ng1,1,4,84,1
4,ng1,1,4,85,1
4,ng1,1,4,86,1
4,ng1,1,4,87,1
4,ng1,1,4,88,1
4,ng1,1,4,89,1
4,ng1,1,4,90,1
4,ng1,1,4,91,1
4,ng1,1,4,92,1
4,ng1,1,4,93,1
4,ng1,1,4,94,1
4,ng1,1,4,95,1
4,ng1,1,4,96,1
4,ng1,1,4,97,1
4,ng1,1,4,98,1
4,ng1,1,4,99,1
4,ng1,1,4,100,1
4,ng1,1,4,101,1
4,ng1,1,4,102,1
4,ng1,1,4,103,1
4,ng1,1,4,104,0
4,ng1,1,4,105,1
4,ng1,1,4,106,1
4,ng1,1,4,107,1
4,ng1,1,4,108,1
4,ng1,1,4,109,1
4,ng1,1,4,110,1
4,ng1,1,4,111,1
4,ng1,1,4,112,1
4,ng1,1,4,113,1
4,ng1,1,4,114,1
4,ng1,1,4,115,1
4,ng1,1,4,116,1
4,ng1,1,4,117,1
4,ng1,1,4,118,1
4,ng1,1,4,119,1
4,ng1,1,4,120,1
4,ng1,1,4,121,1
4,ng1,1,4,122,1
4,ng1,1,4,123,1
4,ng1,1,4,124,1
4,ng1,1,4,125,1
4,ng1,1,4,126,1
4,ng1,1,4,127,1
4,ng1,1,4,128,1
4,ng1,1,4,129,1
4,ng1,1,4,130,1
4,ng1,1,4,131,1
4,ng1,1,4,132,1
4,ng1,1,4,133,1
4,ng1,1,4,134,1
4,ng1,1,4,135,1
4,ng1,1,4,136,1
4,ng1,1,4,137,1
4,ng1,1,4,138,1
4,ng1,1,4,139,1
4,ng1,1,4,140,1
4,ng1,1,4,141,1
4,ng1,1,4,142,1
4,ng1,1,4,143,1
4,ng1,1,4,144,0
4,ng1,1,4,145,1
4,ng1,1,4,146,1
4,ng1,1,4,147,1
4,ng1,1,4,148,1
4,ng1,1,4,149,1
4,ng1,1,4,150,1
4,ng1,1,4,151,1
4,ng1,1,4,152,1
4,ng1,1,4,153,1
4,ng1,1,4,154,1
4,ng1,1,4,155,1
4,ng1,1,4,156,1
4,ng1,1,4,157,1
4,ng1,1,4,158,1
4,ng1,1,4,159,1
4,ng1,1,4,160,1
4,ng1,1,4,161,1
4,ng1,1,4,162,1
4,ng1,1,4,163,1
4,ng1,1,4,164,1
4,ng1,1,4,165,1
4,ng1,1,4,166,1
4,ng1,1,4,167,1
4,ng1,1,4,168,1
4,ng1,1,4,169,1
4,ng1,1,4,170,1
4,ng1,1,4,171,1
4,ng1,1,4,172,1
4,ng1,1,4,173,1
4,ng1,1,4,174,1
4,ng1,1,4,175,1
4,ng1,1,4,176,1
4,ng1,1,4,177,1
4,ng1,1,4,178,1
4,ng1,1,4,179,1
4,ng1,1,4,180,1
4,ng1,1,4,181,1
4,ng1,1,4,182,1
4,ng1,1,4,183,1
4,ng1,1,4,184,0
4,ng1,1,4,185,1
4,ng1,1,4,186,1
4,ng1,1,4,187,1
4,ng1,1,4,188,1
4,ng1,1,4,189,1
4,ng1,1,4,190,1
4,ng1,1,4,191,1
4,ng1,1,4,192,1
4,ng1,1,4,193,1
4,ng1,1,4,194,1
4,ng1,1,4,195,1
4,ng1,1,4,196,1
4,ng1,1,4,197,1
4,ng1,1,4,198,1
4,ng1,1,4,199,1
4,ng1,1,4,200,1
4,ng1,2,1,1,1
4,ng1,2,1,2,1
4,ng1,2,1,3,1
4,ng1,2,1,4,1
4,ng1,2,1,5,1
4,ng1,2,1,6,1
4,ng1,2,1,7,1
4,ng1,2,1,8,1
4,ng1,2,1,9,1
4,ng1,2,1,10,1
4,ng1,2,1,11,1
4,ng1,2,1,12,1
4,ng1,2,1,13,1
4,ng1,2,1,14,1
4,ng1,2,1,15,1
4,ng1,2,1,16,1
4,ng1,2,1,17,1
4,ng1,2,1,18,1
4,ng1,2,1,19,1
4,ng1,2,1,20,1
4,ng1,2,1,21,1
4,ng1,2,1,22,1
4,ng1,2,1,23,1
4,ng1,2,1,24,1
4,ng1,2,1,25,1
4,ng1,2,1,26,1
4,ng1,2,1,27,1
4,ng1,2,1,28,1
4,ng1,2,1,29,1
4,ng1,2,1,30,1
4,ng1,2,1,31,1
4,ng1,2,1,32,1
4,ng1,2,1,33,1
4,ng1,2,1,34,1
4,ng1,2,1,35,1
4,ng1,2,1,36,1
4,ng1,2,1,37,1
4,ng1,2,1,38,1
4,ng1,2,1,39,1
4,ng1,2,1,40,1
4,ng1,2,1,41,1
4,ng1,2,1,42,1
4,ng1,2,1,43,1
4,ng1,2,1,44,1
4,ng1,2,1,45,0
4,ng1,2,1,46,1
4,ng1,2,1,47,1
4,ng1,2,1,48,1
4,ng1,2,1,49,1
4,ng1,2,1,50,1
4,ng1,2,1,51,1
4,ng1,2,1,52,1
4,ng1,2,1,53,1
4,ng1,2,1,54,1
4,ng1,2,1,55,1
4,ng1,2,1,56,1
4,ng1,2,1,57,1
4,ng1,2,1,58,1
4,ng1,2,1,59,1
4,ng1,2,1,60,1
4,ng1,2,1,61,1
4,ng1,2,1,62,1
4,ng1,2,1,63,1
4,ng1,2,1,64,1
4,ng1,2,1,65,1
4,ng1,2,1,66,1
4,ng1,2,1,67,1
4,ng1,2,1,68,1
4,ng1,2,1,69,1
4,ng1,2,1,70,1
4,ng1,2,1,71,1
4,ng1,2,1,72,1
4,ng1,2,1,73,1
4,ng1,2,1,74,1
4,ng1,2,1,75,1
4,ng1,2,1,76,1
4,ng1,2,1,77,1
4,ng1,2,1,78,1
4,ng1,2,1,79,1
4,ng1,2,1,80,1
4,ng1,2,1,81,1
4,ng1,2,1,82,1
4,ng1,2,1,83,1
4,ng1,2,1,84,1
4,ng1,2,1,85,1
4,ng1,2,1,86,1
4,ng1,2,1,87,1
4,ng1,2,1,88,1
4,ng1,2,1,89,1
4,ng1,2,1,90,1
4,ng1,2,1,91,1
4,ng1,2,1,92,1
4,ng1,2,1,93,1
4,ng1,2,1,94,1
4,ng1,2,1,95,1
4,ng1,2,1,96,1
4,ng1,2,1,97,1
4,ng1,2,1,98,1
4,ng1,2,1,99,1
4,ng1,2,1,100,1
4,ng1,2,1,101,1
4,ng1,2,1,102,1
4,ng1,2,1,103,1
4,ng1,2,1,104,1
4,ng1,2,1,105,0
4,ng1,2,1,106,1
4,ng1,2,1,107,1
4,ng1,2,1,108,1
4,ng1,2,1,109,1
4,ng1,2,1,110,1
4,ng1,2,1,111,1
4,ng1,2,1,112,1
4,ng1,2,1,113,1
4,ng1,2,1,114,1
4,ng1,2,1,115,1
4,ng1,2,1,116,1
4,ng1,2,1,117,1
4,ng1,2,1,118,1
4,ng1,2,1,119,1
4,ng1,2,1,120,1
4,ng1,2,1,121,1
4,ng1,2,1,122,1
4,ng1,2,1,123,1
4,ng1,2,1,124,1
4,ng1,2,1,125,1
4,ng1,2,1,126,1
4,ng1,2,1,127,1
4,ng1,2,1,128,1
4,ng1,2,1,129,1
4,ng1,2,1,130,1
4,ng1,2,1,131,1
4,ng1,2,1,132,1
4,ng1,2,1,133,1
4,ng1,2,1,134,1
4,ng1,2,1,135,1
4,ng1,2,1,136,1
4,ng1,2,1,137,1
4,ng1,2,1,138,1
4,ng1,2,1,139,1
4,ng1,2,1,140,1
4,ng1,2,1,141,1
4,ng1,2,1,142,1
4,ng1,2,1,143,1
4,ng1,2,1,144,1
4,ng1,2,1,145,0
4,ng1,2,1,146,1
4,ng1,2,1,147,1
4,ng1,2,1,148,1
4,ng1,2,1,149,1
4,ng1,2,1,150,1
4,ng1,2,1,151,1
4,ng1,2,1,152,1
4,ng1,2,1,153,1
4,ng1,2,1,154,1
4,ng1,2,1,155,1
4,ng1,2,1,156,1
4,ng1,2,1,157,1
4,ng1,2,1,158,1
4,ng1,2,1,159,1
4,ng1,2,1,160,1
4,ng1,2,1,161,1
4,ng1,2,1,162,1
4,ng1,2,1,163,1
4,ng1,2,1,164,1
4,ng1,2,1,165,1
4,ng1,2,1,166,1
4,ng1,2,1,167,1
4,ng1,2,1,168,1
4,ng1,2,1,169,1
4,ng1,2,1,170,1
4,ng1,2,1,171,1
4,ng1,2,1,172,1
4,ng1,2,1,173,1
4,ng1,2,1,174,1
4,ng1,2,1,175,1
4,ng1,2,1,176,1
4,ng1,2,1,177,1
4,ng1,2,1,178,1
4,ng1,2,1,179,1
4,ng1,2,1,180,1
4,ng1,2,1,181,1
4,ng1,2,1,182,1
4,ng1,2,1,183,1
4,ng1,2,1,184,1
4,ng1,2,1,185,0
4,ng1,2,1,186,1
4,ng1,2,1,187,1
4,ng1,2,1,188,1
4,ng1,2,1,189,1
4,ng1,2,1,190,1
4,ng1,2,1,191,1
4,ng1,2,1,192,1
4,ng1,2,1,193,1
4,ng1,2,1,194,1
4,ng1,2,1,195,1
4,ng1,2,1,196,1
4,ng1,2,1,197,1
4,ng1,2,1,198,1
4,ng1,2,1,199,1
4,ng1,2,1,200,1
4,ng1,2,2,1,1
4,ng1,2,2,2,1
4,ng1,2,2,3,1
4,ng1,2,2,4,1
4,ng1,2,2,5,1
4,ng1,2,2,6,1
4,ng1,2,2,7,1
4,ng1,2,2,8,1
4,ng1,2,2,9,1
4,ng1,2,2,10,1
4,ng1,2,2,11,1
4,ng1,2,2,12,1
4,ng1,2,2,13,1
4,ng1,2,2,14,1
4,ng1,2,2,15,1
4,ng1,2,2,16,1
4,ng1,2,2,17,1
4,ng1,2,2,18,1
4,ng1,2,2,19,1
4,ng1,2,2,20,1
4,ng1,2,2,21,1
4,ng1,2,2,22,1
4,ng1,2,2,23,1
4,ng1,2,2,24,1
4,ng1,2,2,25,1
4,ng1,2,2,26,1
4,ng1,2,2,27,1
4,ng1,2,2,28,1
4,ng1,2,2,29,1
4,ng1,2,2,30,1
4,ng1,2,2,31,1
4,ng1,2,2,32,1
4,ng1,2,2,33,1
4,ng1,2,2,34,1
4,ng1,2,2,35,1
4,ng1,2,2,36,1
4,ng1,2,2,37,1
4,ng1,2,2,38,1
4,ng1,2,2,39,1
4,ng1,2,2,40,1
4,ng1,2,2,41,1
4,ng1,2,2,42,1
4,ng1,2,2,43,1
4,ng1,2,2,44,1
4,ng1,2,2,45,1
4,ng1,2,2,46,0
4,ng1,2,2,47,1
4,ng1,2,2,48,1
4,ng1,2,2,49,1
4,ng1,2,2,50,1
4,ng1,2,2,51,1
4,ng1,2,2,52,1
4,ng1,2,2,53,1
4,ng1,2,2,54,1
4,ng1,2,2,55,1
4,ng1,2,2,56,1
4,ng1,2,2,57,1
4,ng1,2,2,58,1
4,ng1,2,2,59,1
4,ng1,2,2,60,1
4,ng1,2,2,61,1
4,ng1,2,2,62,1
4,ng1,2,2,63,1
4,ng1,2,2,64,1
4,ng1,2,2,65,1
4,ng1,2,2,66,1
4,ng1,2,2,67,1
4,ng1,2,2,68,1
4,ng1,2,2,69,1
4,ng1,2,2,70,1
4,ng1,2,2,71,1
4,ng1,2,2,72,1
4,ng1,2,2,73,1
4,ng1,2,2,74,1
4,ng1,2,2,75,1
4,ng1,2,2,76,1
4,ng1,2,2,77,1
4,ng1,2,2,78,1
4,ng1,2,2,79,1
4,ng1,2,2,80,1
4,ng1,2,2,81,1
4,ng1,2,2,82,1
4,ng1,2,2,83,1
4,ng1,2,2,84,1
4,ng1,2,2,85,1
4,ng1,2,2,86,1
4,ng1,2,2,87,1
4,ng1,2,2,88,1
4,ng1,2,2,89,1
4,ng1,2,2,90,1
4,ng1,2,2,91,1
4,ng1,2,2,92,1
4,ng1,2,2,93,1
4,ng1,2,2,94,1
4,ng1,2,2,95,1
4,ng1,2,2,96,1
4,ng1,2,2,97,1
4,ng1,2,2,98,1
4,ng1,2,2,99,1
4,ng1,2,2,100,1
4,ng1,2,2,101,1
4,ng1,2,2,102,1
4,ng1,2,2,103,1
4,ng1,2,2,104,1
4,ng1,2,2,105,1
4,ng1,2,2,106,0
4,ng1,2,2,107,1
4,ng1,2,2,108,1
4,ng1,2,2,109,1
4,ng1,2,2,110,1
4,ng1,2,2,111,1
4,ng1,2,2,112,1
4,ng1,2,2,113,1
4,ng1,2,2,114,1
4,ng1,2,2,115,1
4,ng1,2,2,116,1
4,ng1,2,2,117,1
4,ng1,2,2,118,1
4,ng1,2,2,119,1
4,ng1,2,2,120,1
4,ng1,2,2,121,1
4,ng1,2,2,122,1
4,ng1,2,2,123,1
4,ng1,2,2,124,1
4,ng1,2,2,125,1
4,ng1,2,2,126,1
4,ng1,2,2,127,1
4,ng1,2,2,128,1
4,ng1,2,2,129,1
4,ng1,2,2,130,1
4,ng1,2,2,131,1
4,ng1,2,2,132,1
4,ng1,2,2,133,1
4,ng1,2,2,134,1
4,ng1,2,2,135,1
4,ng1,2,2,136,1
4,ng1,2,2,137,1
4,ng1,2,2,138,1
4,ng1,2,2,139,1
4,ng1,2,2,140,1
4,ng1,2,2,141,1
4,ng1,2,2,142,1
4,ng1,2,2,143,1
4,ng1,2,2,144,1
4,ng1,2,2,145,1
4,ng1,2,2,146,0
4,ng1,2,2,147,1
4,ng1,2,2,148,1
4,ng1,2,2,149,1
4,ng1,2,2,150,1
4,ng1,2,2,151,1
4,ng1,2,2,152,1
4,ng1,2,2,153,1
4,ng1,2,2,154,1
4,ng1,2,2,155,1
4,ng1,2,2,156,1
4,ng1,2,2,157,1
4,ng1,2,2,158,1
4,ng1,2,2,159,1
4,ng1,2,2,160,1
4,ng1,2,2,161,1
4,ng1,2,2,162,1
4,ng1,2,2,163,1
4,ng1,2,2,164,1
4,ng1,2,2,165,1
4,ng1,2,2,166,1
4,ng1,2,2,167,1
4,ng1,2,2,168,1
4,ng1,2,2,169,1
4,ng1,2,2,170,1
4,ng1,2,2,171,1
4,ng1,2,2,172,1
4,ng1,2,2,173,1
4,ng1,2,2,174,1
4,ng1,2,2,175,1
4,ng1,2,2,176,1
4,ng1,2,2,177,1
4,ng1,2,2,178,1
4,ng1,2,2,179,1
4,ng1,2,2,180,1
4,ng1,2,2,181,1
4,ng1,2,2,182,1
4,ng1,2,2,183,1
4,ng1,2,2,184,1
4,ng1,2,2,185,1
4,ng1,2,2,186,0
4,ng1,2,2,187,1
4,ng1,2,2,188,1
4,ng1,2,2,189,1
4,ng1,2,2,190,1
4,ng1,2,2,191,1
4,ng1,2,2,192,1
4,ng1,2,2,193,1
4,ng1,2,2,194,1
4,ng1,2,2,195,1
4,ng1,2,2,196,1
4,ng1,2,2,197,1
4,ng1,2,2,198,1
4,ng1,2,2,199,1
4,ng1,2,2,200,1
4,ng1,2,3,1,1
4,ng1,2,3,2,1
4,ng1,2,3,3,1
4,ng1,2,3,4,1
4,ng1,2,3,5,1
4,ng1,2,3,6,1
4,ng1,2,3,7,1
4,ng1,2,3,8,1
4,ng1,2,3,9,1
4,ng1,2,3,10,1
4,ng1,2,3,11,1
4,ng1,2,3,12,1
4,ng1,2,3,13,1
4,ng1,2,3,14,1
4,ng1,2,3,15,1
4,ng1,2,3,16,1
4,ng1,2,3,17,1
4,ng1,2,3,18,1
4,ng1,2,3,19,1
4,ng1,2,3,20,1
4,ng1,2,3,21,1
4,ng1,2,3,22,1
4,ng1,2,3,23,1
4,ng1,2,3,24,1
4,ng1,2,3,25,1
4,ng1,2,3,26,1
4,ng1,2,3,27,1
4,ng1,2,3,28,1
4,ng1,2,3,29,1
4,ng1,2,3,30,1
4,ng1,2,3,31,1
4,ng1,2,3,32,1
4,ng1,2,3,33,1
4,ng1,2,3,34,1
4,ng1,2,3,35,1
4,ng1,2,3,36,1
4,ng1,2,3,37,1
4,ng1,2,3,38,1
4,ng1,2,3,39,1
4,ng1,2,3,40,1
4,ng1,2,3,41,1
4,ng1,2,3,42,1
4,ng1,2,3,43,1
4,ng1,2,3,44,1
4,ng1,2,3,45,1
4,ng1,2,3,46,1
4,ng1,2,3,47,0
4,ng1,2,3,48,1
4,ng1,2,3,49,1
4,ng1,2,3,50,1
4,ng1,2,3,51,1
4,ng1,2,3,52,1
4,ng1,2,3,53,1
4,ng1,2,3,54,1
4,ng1,2,3,55,1
4,ng1,2,3,56,1
4,ng1,2,3,57,1
4,ng1,2,3,58,1
4,ng1,2,3,59,1
4,ng1,2,3,60,1
4,ng1,2,3,61,1
4,ng1,2,3,62,1
4,ng1,2,3,63,1
4,ng1,2,3,64,1
4,ng1,2,3,65,1
4,ng1,2,3,66,1
4,ng1,2,3,67,1
4,ng1,2,3,68,1
4,ng1,2,3,69,1
4,ng1,2,3,70,1
4,ng1,2,3,71,1
4,ng1,2,3,72,1
4,ng1,2,3,73,1
4,ng1,2,3,74,1
4,ng1,2,3,75,1
4,ng1,2,3,76,1
4,ng1,2,3,77,1
4,ng1,2,3,78,1
4,ng1,2,3,79,1
4,ng1,2,3,80,1
4,ng1,2,3,81,1
4,ng1,2,3,82,1
4,ng1,2,3,83,1
4,ng1,2,3,84,1
4,ng1,2,3,85,1
4,ng1,2,3,86,1
4,ng1,2,3,87,1
4,ng1,2,3,88,1
4,ng1,2,3,89,1
4,ng1,2,3,90,1
4,ng1,2,3,91,1
4,ng1,2,3,92,1
4,ng1,2,3,93,1
4,ng1,2,3,94,1
4,ng1,2,3,95,1
4,ng1,2,3,96,1
4,ng1,2,3,97,1
4,ng1,2,3,98,1
4,ng1,2,3,99,1
4,ng1,2,3,100,1
4,ng1,2,3,101,1
4,ng1,2,3,102,1
4,ng1,2,3,103,1
4,ng1,2,3,104,1
4,ng1,2,3,105,1
4,ng1,2,3,106,1
4,ng1,2,3,107,0
4,ng1,2,3,108,1
4,ng1,2,3,109,1
4,ng1,2,3,110,1
4,ng1,2,3,111,1
4,ng1,2,3,112,1
4,ng1,2,3,113,1
4,ng1,2,3,114,1
4,ng1,2,3,115,1
4,ng1,2,3,116,1
4,ng1,2,3,117,1
4,ng1,2,3,118,1
4,ng1,2,3,119,1
4,ng1,2,3,120,1
4,ng1,2,3,121,1
4,ng1,2,3,122,1
4,ng1,2,3,123,1
4,ng1,2,3,124,1
4,ng1,2,3,125,1
4,ng1,2,3,126,1
4,ng1,2,3,127,1
4,ng1,2,3,128,1
4,ng1,2,3,129,1
4,ng1,2,3,130,1
4,ng1,2,3,131,1
4,ng1,2,3,132,1
4,ng1,2,3,133,1
4,ng1,2,3,134,1
4,ng1,2,3,135,1
4,ng1,2,3,136,1
4,ng1,2,3,137,1
4,ng1,2,3,138,1
4,ng1,2,3,139,1
4,ng1,2,3,140,1
4,ng1,2,3,141,1
4,ng1,2,3,142,1
4,ng1,2,3,143,1
4,ng1,2,3,144,1
4,ng1,2,3,145,1
4,ng1,2,3,146,1
4,ng1,2,3,147,0
4,ng1,2,3,148,1
4,ng1,2,3,149,1
4,ng1,2,3,150,1
4,ng1,2,3,151,1
4,ng1,2,3,152,1
4,ng1,2,3,153,1
4,ng1,2,3,154,1
4,ng1,2,3,155,1
4,ng1,2,3,156,1
4,ng1,2,3,157,1
4,ng1,2,3,158,1
4,ng1,2,3,159,1
4,ng1,2,3,160,1
4,ng1,2,3,161,1
4,ng1,2,3,162,1
4,ng1,2,3,163,1
4,ng1,2,3,164,1
4,ng1,2,3,165,1
4,ng1,2,3,166,1
4,ng1,2,3,167,1
4,ng1,2,3,168,1
4,ng1,2,3,169,1
4,ng1,2,3,170,1
4,ng1,2,3,171,1
4,ng1,2,3,172,1
4,ng1,2,3,173,1
4,ng1,2,3,174,1
4,ng1,2,3,175,1
4,ng1,2,3,176,1
4,ng1,2,3,177,1
4,ng1,2,3,178,1
4,ng1,2,3,179,1
4,ng1,2,3,180,1
4,ng1,2,3,181,1
4,ng1,2,3,182,1
4,ng1,2,3,183,1
4,ng1,2,3,184,1
4,ng1,2,3,185,1
4,ng1,2,3,186,1
4,ng1,2,3,187,0
4,ng1,2,3,188,1
4,ng1,2,3,189,1
4,ng1,2,3,190,1
4,ng1,2,3,191,1
4,ng1,2,3,192,1
4,ng1,2,3,193,1
4,ng1,2,3,194,1
4,ng1,2,3,195,1
4,ng1,2,3,196,1
4,ng1,2,3,197,1
4,ng1,2,3,198,1
4,ng1,2,3,199,1
4,ng1,2,3,200,1
4,ng1,2,4,1,1
4,ng1,2,4,2,1
4,ng1,2,4,3,1
4,ng1,2,4,4,1
4,ng1,2,4,5,1
4,ng1,2,4,6,1
4,ng1,2,4,7,1
4,ng1,2,4,8,1
4,ng1,2,4,9,1
4,ng1,2,4,10,1
4,ng1,2,4,11,1
4,ng1,2,4,12,1
4,ng1,2,4,13,1
4,ng1,2,4,14,1
4,ng1,2,4,15,1
4,ng1,2,4,16,1
4,ng1,2,4,17,1
4,ng1,2,4,18,1
4,ng1,2,4,19,1
4,ng1,2,4,20,1
4,ng1,2,4,21,1
4,ng1,2,4,22,1
4,ng1,2,4,23,1
4,ng1,2,4,24,1
4,ng1,2,4,25,1
4,ng1,2,4,26,1
4,ng1,2,4,27,1
4,ng1,2,4,28,1
4,ng1,2,4,29,1
4,ng1,2,4,30,1
4,ng1,2,4,31,1
4,ng1,2,4,32,1
4,ng1,2,4,33,1
4,ng1,2,4,34,1
4,ng1,2,4,35,1
4,ng1,2,4,36,1
4,ng1,2,4,37,1
4,ng1,2,4,38,1
4,ng1,2,4,39,1
4,ng1,2,4,40,1
4,ng1,2,4,41,1
4,ng1,2,4,42,1
4,ng1,2,4,43,1
4,ng1,2,4,44,1
4,ng1,2,4,45,1
4,ng1,2,4,46,1
4,ng1,2,4,47,1
4,ng1,2,4,48,0
4,ng1,2,4,49,1
4,ng1,2,4,50,1
4,ng1,2,4,51,1
4,ng1,2,4,52,1
4,ng1,2,4,53,1
4,ng1,2,4,54,1
4,ng1,2,4,55,1
4,ng1,2,4,56,1
4,ng1,2,4,57,1
4,ng1,2,4,58,1
4,ng1,2,4,59,1
4,ng1,2,4,60,1
